"Symbol,Name,Data,Last,Change,%Chg,""YTD Chg"",""YTD High"",""YTD Low"",""YTD Avg Vol"",Time"
"GNS,""Genius Group Limited"",+999.00%,3.63,1.35,+59.21%,3.3,7.99,0.3,28709680,2023-03-03"
"CDIO,""Cardio Diagnostics Hldgs Inc"",+549.06%,6.88,-1.02,-12.91%,5.82,8.5,0.91,5521526,2023-03-03"
"BBAI,""Bigbear.Ai Holdings Inc"",+372.02%,3.18,0.34,+11.97%,2.51,6.77,0.67,10914967,2023-03-03"
"STIX,""Semantix Inc"",+334.98%,3.83,0.44,+12.98%,2.95,4.49,0.95,104638,2023-03-03"
"SLQT,""Selectquote Inc"",+312.26%,2.77,0.25,+9.92%,2.1,2.78,0.62,3426455,2023-03-03"
"MHUA,""Meihua International Medical Technologies L"",+285.99%,31.96,0.84,+2.70%,23.68,45.49,6.81,49505,2023-03-03"
"SKYH,""Sky Harbour Group Corp"",+206.39%,8.15,-0.23,-2.74%,5.49,8.65,2.66,57186,2023-03-03"
"DPRO,""Draganfly Inc"",+204.00%,2.28,0.08,+3.64%,1.53,2.46,0.73,705371,2023-03-03"
"SERA,""Sera Prognostics Inc Cl A"",+199.21%,3.77,0.18,+5.01%,2.51,3.99,1.15,1974810,2023-03-03"
"INZY,""Inozyme Pharma Inc"",+193.33%,3.08,0.22,+7.69%,2.03,3.39,1.11,1846510,2023-03-03"
"NGL,""Ngl Energy Partners LP"",+191.74%,3.53,-0.02,-0.56%,2.32,3.7,1.14,1043990,2023-03-03"
"AMAM,""Ambrx Biopharma Inc ADR"",+183.26%,6.43,-0.37,-5.44%,4.16,7.45,1.28,4742481,2023-03-03"
"NPCE,""Neuropace Inc"",+175.17%,4.1,-0.1,-2.38%,2.61,5.85,1.38,34362,2023-03-03"
"BWEN,""Broadwind Energy Inc"",+169.83%,4.83,0.45,+10.27%,3.04,6.1,1.77,2208998,2023-03-03"
"VRCA,""Verrica Pharmaceuticals Inc"",+162.18%,7.21,-0.15,-2.04%,4.46,8.69,2.77,213167,2023-03-03"
"DBD,""Diebold Nixdorf Inc"",+157.75%,3.66,0.22,+6.40%,2.24,3.75,1.42,1548202,2023-03-03"
"DUOT,""Duos Technologies Group Inc"",+157.50%,5.15,0.45,+9.57%,3.15,5.7,1.91,57200,2023-03-03"
"ATLX,""Atlas Lithium Corp"",+155.00%,17.85,1.2,+7.21%,10.85,21.29,6.01,596083,2023-03-03"
"AI,""C3.Ai Inc Cl A"",+154.51%,28.48,7.17,+33.65%,17.29,30.92,10.48,20633557,2023-03-03"
"DMTK,""Dermtech Inc"",+151.98%,4.46,0.66,+17.37%,2.69,6.44,1.81,919438,2023-03-03"
"LASE,""Laser Photonics Corp"",+151.96%,5.14,-0.04,-0.77%,3.1,7.19,2.01,775145,2023-03-03"
"UIHC,""United Insurance Holdings"",+147.17%,2.62,0.65,+32.99%,1.56,2.85,0.92,472864,2023-03-03"
"INOD,""Innodata Inc"",+145.19%,7.27,0.34,+4.91%,4.31,8.17,2.96,120095,2023-03-03"
"EBON,""Ebang International Holdings Cl A"",+144.33%,7.11,0.1,+1.43%,4.2,10.98,2.91,157976,2023-03-03"
"RETA,""Reata Pharma"",+139.19%,90.87,4.06,+4.68%,52.88,95,26.26,1806193,2023-03-03"
