"Symbol,Name,Data,Last,Change,%Chg,""2Y Chg"",""2Y High"",""2Y Low"",Time"
"IVT,""Inventrust Pptys Corp"",""+1,566.19%"",23.16,-0.46,-1.95%,21.77,32.93,1.1,2023-03-03"
"AMR,""Alpha Metallurgical Resources Inc"",""+1,056.76%"",183,6.94,+3.94%,167.18,186.98,11.13,2023-03-03"
"AEHR,""Aehr Test Systems"",""+1,046.62%"",32.22,1.72,+5.64%,29.41,37.57,1.94,2023-03-03"
"SGML,""Sigma Lithium Corp"",+842.02%,37.5,2.48,+7.08%,33.52,39.93,3.67,2023-03-03"
"TH,""Target Hospitality Corp"",+813.33%,15.07,0.32,+2.17%,13.42,18.48,1.51,2023-03-03"
"DXLG,""Destination XL Group"",+715.79%,6.2,0.14,+2.31%,5.44,8.99,0.64,2023-03-03"
"SCWO,""374Water Inc"",+677.78%,3.36,0.04,+1.20%,2.93,6.68,0.3,2023-03-03"
"VIST,""Vista Energy S.A.B. DE C.V. ADR"",+642.31%,19.3,0.6,+3.21%,16.7,19.52,2.51,2023-03-03"
"VTNR,""Vertex Energy"",+601.27%,11.08,0.62,+5.93%,9.5,18.1,1.14,2023-03-03"
"BTU,""Peabody Energy Corp"",+572.18%,28.03,0.48,+1.74%,23.86,33.29,2.61,2023-03-03"
"HDSN,""Hudson Tech Inc"",+565.36%,10.18,0.18,+1.80%,8.65,12.46,1.25,2023-03-03"
"CEIX,""Consol Energy Inc"",+481.41%,64.13,3.6,+5.95%,53.1,79.17,8.65,2023-03-03"
"PBT,""Permian Basin Royalty Trust"",+481.34%,25.23,-0.13,-0.51%,20.89,25.99,3.72,2023-03-03"
"WFRD,""Weatherford International Plc"",+476.02%,68.95,0.75,+1.10%,56.98,69.44,10,2023-03-03"
"OBE,""Obsidian Energy Ltd"",+432.53%,7.62,0.27,+3.67%,6.19,12.52,1.15,2023-03-03"
"JILL,""J. Jill Inc"",+407.43%,28.01,0.060000000000002,+0.21%,22.49,30.36,3.95,2023-03-03"
"TGLS,""Tecnoglass Inc"",+407.27%,42.56,2.63,+6.59%,34.17,42.75,8.21,2023-03-03"
"CLMT,""Calumet Specialty Pr"",+392.18%,20.13,0.16,+0.80%,16.04,20.5,3.99,2023-03-03"
"HNRG,""Hallador Energy Company"",+367.84%,8,0.2,+2.56%,6.29,11.57,1.5,2023-03-03"
"LWLG,""Lightwave Logic Inc"",+354.41%,6.18,0.46,+8.04%,4.82,20.3,1.05,2023-03-03"
"LXU,""Lsb Industries Inc"",+344.88%,14.51,0.48,+3.42%,11.25,27.45,2.81,2023-03-03"
"TRMD,""Torm Plc Cl A"",+328.15%,36.35,0.54,+1.51%,27.86,36.6,6.17,2023-03-03"
"ASC,""Ardmore Shipping Corp"",+327.76%,18.18,-0.41,-2.21%,13.93,19.41,3.07,2023-03-03"
