"Symbol,Name,Data,Last,Change,%Chg,""3Y Chg"",""3Y High"",""3Y Low"",""Avg Vol"",Time"
"PMTS,""CPI Card Group"",""+4,118.99%"",33.33,-0.53,-1.57%,32.54,42.5,0.36,53290,2023-03-03"
"AMR,""Alpha Metallurgical Resources Inc"",""+3,957.65%"",183,6.94,+3.94%,178.49,186.98,1.93,251455,2023-03-03"
"APLD,""Applied Digital Corp"",""+3,502.15%"",2.68,0.05,+1.90%,2.64,34.2,0.04,688855,2023-03-03"
"SGML,""Sigma Lithium Corp"",""+2,428.66%"",37.5,2.48,+7.08%,36.08,39.93,1.06,952475,2023-03-03"
"AR,""Antero Resources Corp"",""+1,878.26%"",27.3,0.86,+3.25%,25.92,48.8,0.64,6704210,2023-03-03"
"GME,""Gamestop Corp"",""+1,808.16%"",18.7,0.51,+2.80%,17.72,120.75,0.64,3951740,2023-03-03"
"CLDX,""Celldex Therapeutics"",""+1,771.20%"",46.78,0.38,+0.82%,44.28,57.2,1.5,446255,2023-03-03"
"OBE,""Obsidian Energy Ltd"",""+1,736.59%"",7.62,0.27,+3.67%,7.21,12.52,0.13,640910,2023-03-03"
"AEHR,""Aehr Test Systems"",""+1,690.00%"",32.22,1.72,+5.64%,30.42,37.57,1.1,1633165,2023-03-03"
"SCWO,""374Water Inc"",""+1,668.42%"",3.36,0.04,+1.20%,3.13,6.68,0.08,57785,2023-03-03"
"ATLX,""Atlas Lithium Corp"",""+1,486.67%"",17.85,1.2,+7.21%,16.73,75,0.52,843765,2023-03-03"
"VRTV,""Veritiv Corp"",""+1,486.05%"",141,-3.91,-2.70%,132.11,161.84,5.7,149790,2023-03-03"
"CELH,""Celsius Holdings Inc"",""+1,456.32%"",94.78,0.37,+0.39%,88.69,122.24,3.22,1164285,2023-03-03"
"HDSN,""Hudson Tech Inc"",""+1,111.90%"",10.18,0.18,+1.80%,9.34,12.46,0.52,472335,2023-03-03"
"DAC,""Danaos Corp"",""+1,074.90%"",58.98,-0.57,-0.96%,53.96,107.47,2.5,177225,2023-03-03"
"AMLI,""American Lithium Corp"",""+1,070.50%"",3,0.11,+3.81%,2.74,5,0.1,516930,2023-03-03"
"ACRS,""Aclaris Therapts"",""+1,051.35%"",12.78,0.16,+1.27%,11.67,30.38,0.7,996145,2023-03-03"
"VTNR,""Vertex Energy"",""+1,018.06%"",11.08,0.62,+5.93%,10.09,18.1,0.4,3011915,2023-03-03"
"BGI,""Birks Group Inc"",""+1,015.32%"",8.24,0,0.00%,7.5,8.77,0.32,36925,2023-03-03"
"SBOW,""Silverbow Resources Inc"",""+1,012.88%"",29.38,0.52,+1.80%,26.74,49.91,1.5,312770,2023-03-03"
"RRC,""Range Resources Corp"",+965.65%,27.92,0.63,+2.31%,25.3,37.44,1.61,7737835,2023-03-03"
